nombre,masa_unidades_m,t,x,v
4m,4,0.000,1.000,0.000
4m,4,0.200,0.951,-0.485
4m,4,0.400,0.809,-0.923
4m,4,0.600,0.588,-1.271
4m,4,0.800,0.309,-1.494
4m,4,1.000,0.000,-1.571
3m_A,3,0.000,0.707,-1.283
3m_A,3,0.200,0.410,-1.654
3m_A,3,0.400,0.060,-1.811
3m_A,3,0.600,-0.298,-1.731
3m_A,3,0.800,-0.618,-1.427
3m_A,3,1.000,-0.856,-0.936
3m_B,3,0.000,0.000,3.628
3m_B,3,0.200,0.710,3.392
3m_B,3,0.400,1.327,2.714
3m_B,3,0.600,1.772,1.683
3m_B,3,0.800,1.986,0.433
3m_B,3,1.000,1.941,-0.873
2m_A,2,0.000,0.000,4.443
2m_A,2,0.200,0.860,4.012
2m_A,2,0.400,1.552,2.801
2m_A,2,0.600,1.944,1.047
2m_A,2,0.800,1.958,-0.910
2m_A,2,1.000,1.591,-2.691
2m_B,2,0.000,2.000,0.000
2m_B,2,0.200,1.806,-1.910
2m_B,2,0.400,1.261,-3.448
2m_B,2,0.600,0.471,-4.318
2m_B,2,0.800,-0.410,-4.349
2m_B,2,1.000,-1.211,-3.535
1m,1,0.000,-1.000,0.000
1m,1,0.200,-0.809,1.847
1m,1,0.400,-0.309,2.988
1m,1,0.600,0.309,2.988
1m,1,0.800,0.809,1.847
1m,1,1.000,1.000,0.000
